examine_angle,stiffness,mean,median,std
90,10,87.0130819143291,86.94729555177618,0.3595074998384605
90,0,86.52854510677639,86.60367260848388,0.2279346802585191
examine_angle,stiffness,mean,median,std
90,10,87.0130819143291,86.94729555177618,0.3595074998384605
90,0,86.52854510677639,86.60367260848388,0.2279346802585191
examine_angle,stiffness,mean,median,std
90,10,87.0130819143291,86.94729555177618,0.3595074998384605
examine_angle,stiffness,mean,median,std
examine_angle,stiffness,mean,median,std
examine_angle,stiffness,mean,median,std
examine_angle,stiffness,mean,median,std
examine_angle,stiffness,mean,median,std
60,0,58.14280139027379,58.00429962023777,0.7423130749488794
