angle,stiffness,camera
105,-6,115.17468625070846
129,47,124.08793773723559
128,48,123.91229158297065
98,47,111.09626309172742
55,-18,89.5872454888484
55,48,90.76558714706356
84,52,103.66966134437558
77,57,99.97577307098689
101,58,110.52477023387245
55,47,91.53414307711087
136,39,127.42600685890176
70,-6,98.61631997071852
136,-1,132.21067159161578
30,29,78.23337223542742
35,15,81.00940330096117
109,29,116.34587490579656
117,26,120.34532358718647
103,-8,115.07188762883726
103,-10,114.67335702272881
66,17,97.12225921453722
142,14,133.53940600923738
89,45,107.70954595659042
150,-16,139.80580897025638
122,22,124.0426776453597
59,41,94.57147171039416
58,35,94.1124476094807
126,28,124.66652957536486
80,-8,103.5784818059808
161,8,145.21202114255098
156,16,141.8667850677088
72,46,100.65616557566292
117,34,120.07304299301506
142,24,132.30429036337642
58,5,93.31129177603879
29,3,77.05527679405441
48,-3,87.05932760734142
45,12,86.81657425458832
47,24,87.5238471822951
16,11,nan
75,57,99.03378600901871
50,14,88.91459593301516
127,38,124.01282249036589
54,20,91.7381844182205
56,54,91.7381844182205
74,9,101.38634080357537
162,-14,145.61900878481927
50,28,89.58651915943499
110,-3,117.6329912426877
49,1,87.27941274581148
27,-8,74.31201829807243
74,26,100.49897590278432
132,26,126.96286491702791
130,0,127.95723542221756
135,15,137.50224456583763
118,34,121.36848833877036
155,-4,141.54539061259115
115,15,120.396069384869
97,50,111.24685595985098
126,-1,125.99613731844458
64,-16,94.48879387526425
127,40,123.98262509965082
105,-15,116.41892038291047
120,-15,123.98262509965082
64,13,95.68875799776939
134,-14,130.44796107837513
60,12,93.59203774417826
36,-17,79.40439836622399
157,22,142.2555676000718
111,-15,120.14449182812545
133,17,129.99158572064616
100,49,113.47345247154975
59,27,95.41563796222414
12,1,68.06965178396173
41,4,83.7830822335864
76,-4,102.74083553015717
121,8,124.08793773723559
113,-5,120.46808767754038
72,21,100.088621849631
155,-3,141.9357980207162
118,10,122.17227427225367
120,-8,123.79110008861616
86,34,107.15268526459813
120,57,120.14449182812545
89,16,109.03194116298461
95,52,109.22854355636323
148,-14,138.9704400326052
127,26,126.39763432162017
103,7,115.84925323044378
116,18,120.74508609790342
19,0,nan
51,12,89.33494160269143
116,-15,121.39858566559113
137,-18,132.63238082176676
80,0,103.48091469323703
54,34,91.22639613245833
40,1,82.39171515979413
140,10,132.63238082176676
18,4,nan
145,7,135.6095627171126
32,23,79.58057717878337
121,33,121.06861009094153
4,-3,69.69711632175665
72,36,98.61631997071852
69,16,98.78220845227517
77,4,102.59615889358608
162,5,145.36743122807573
122,-3,123.88427408910938
75,4,100.77753214529459
21,-1,nan
20,11,71.61216456311935
88,51,104.85806115953191
31,24,79.58057717878337
119,10,121.8089906835013
145,-13,136.7934628153875
147,31,135.4879955796934
30,-7,76.09767144200879
164,-14,149.31574536674893
62,13,94.5065246972162
38,-7,81.22234531917131
135,17,130.0028080845244
145,-11,136.9102188043897
85,16,106.42045656824995
131,-16,129.6698280871523
62,53,95.68875799776939
20,12,73.0272297374836
101,9,114.23610393016284
63,43,95.73629421340328
79,43,102.4975327234405
60,42,94.55406091285009
64,16,96.1896749354486
81,21,104.40180601317071
25,-13,73.11585277077343
103,-6,115.89678944607768
135,-1,131.67999726378292
96,45,111.86404268045263
41,36,85.22225910900205
82,28,104.56400970908474
115,2,120.14128224607684
125,25,124.10713496046625
145,-14,136.42784605605186
73,48,100.2949345616747
124,12,124.8141293711572
99,13,112.86598813583555
28,-7,75.01791736610784
17,-5,69.41267979470553
142,-7,135.04312964179854
65,11,96.46546702228373
88,19,107.25430475172068
145,11,134.968725014289
71,29,99.84820392025009
90,59,106.34236326722383
112,19,117.88857931688915
111,45,116.21122421067773
162,-13,146.20470618367045
118,39,120.95807073478016
72,16,101.18229946246574
96,-14,111.86404268045263
47,35,87.78389716526826
99,43,110.06448305397511
46,-12,85.44850175133067
141,34,131.42879740002283
20,6,72.13767372387363
148,12,136.3843326773018
82,22,104.88212926930741
37,36,81.94876308745171
107,50,113.09281109781742
164,-12,146.83115331853554
129,16,127.1748069951417
84,-18,104.44893102144621
134,42,127.18410071436483
126,2,125.85044790259465
111,59,117.30939938978752
93,9,110.58253425122054
114,-4,119.89008238231673
71,27,99.31065941325924
78,10,102.98085389393523
47,28,87.78389716526826
126,-17,126.17894916777192
47,3,86.12044682578407
154,-8,86.37164668954416
105,-3,115.5708641215712
107,-16,116.60226427826218
43,26,84.50724997626719
173,7,150.24824417198354
10,6,68.15135490491487
54,33,90.35767482005245
161,-7,144.75677993768127
60,-9,92.13703436718524
8,-2,67.707800300571
167,-4,149.52042162840746
33,20,79.37691353065718
12,8,nan
54,21,90.56192349893738
144,5,133.73849398440743
38,37,82.41420300946203
57,50,90.82076829337966
129,42,123.55758128549614
43,31,85.20856506405478
114,14,118.65232804091158
153,23,137.08134562373957
103,58,112.86598813583555
114,44,117.62962982656173
94,0,110.48004410544675
134,29,128.15660363449072
168,-8,148.9066152286632
49,-11,86.12044682578407
110,-5,118.59450440703166
62,20,94.30286104909001
114,-5,120.31282515726474
105,14,115.17468625070846
63,-6,94.75811516650346
137,39,128.48210157291172
70,-3,98.57854480414899
82,-14,103.85370078165204
106,7,116.35313759675351
12,-11,68.59684307444695
20,-9,nan
141,15,133.08416480436767
54,4,91.02273248433211
79,14,103.71513357406624
98,27,111.82927758321298
144,-8,135.73250167519342
122,-19,124.56292950739712
95,-18,110.58253425122054
49,38,88.45935472814544
47,0,86.3613330497186
138,21,130.77504157081034
65,35,97.11814181782759
85,59,104.15060614941062
68,-16,95.9384750716885
17,11,nan
48,-19,85.65899430275299
56,52,89.63772606631417
94,52,106.94902161647192
115,35,117.17775003781797
83,14,104.88212926930741
42,11,84.50724997626719
59,-5,93.12132421174445
35,18,80.79859653257506
133,-11,130.12077385616897
82,-13,103.99084270126933
23,0,71.50746048269849
11,-8,66.69166847481118
121,48,119.94082817999924
82,-9,104.15060614941062
126,37,123.19918080743354
47,0,86.6040864024717
109,44,114.85493965304664
133,28,127.18410071436483
170,5,148.709775322935
129,18,126.52077399411986
66,23,97.56759171151272
150,1,138.0049662853715
96,0,111.61284281669253
158,17,141.41154386283907
101,-7,113.4985656759521
114,-5,120.26442402941419
143,21,133.08416480436767
173,-6,152.87409876248373
95,-4,110.79161475498125
172,-6,153.17383705207055
122,21,123.91229158297065
73,-4,100.20092437079319
81,16,104.31280984532465
93,-6,110.16959214305908
52,21,89.3835818407222
157,5,141.0901494077214
91,28,108.82827751485844
64,56,95.30407754806836
38,32,84.04334948805662
133,-15,129.79914443639822
128,50,125.86733768677078
29,-18,75.48573370633156
66,55,93.84626326322484
18,9,nan
89,57,104.31280984532465
129,24,124.53860326914915
35,1,80.09007077200864
102,-8,114.13499089930839
121,-9,123.5273838947811
111,56,116.92272599713043
158,-5,143.3224435369275
69,-14,96.39031927425145
69,9,97.67828086625288
115,23,119.29536383179023
6,-2,nan
164,15,146.20470618367045
128,48,145.25696848025504
151,-6,140.05686684222127
161,5,145.38539179366737
19,11,nan
113,14,118.91746336702298
97,16,112.23737627984943
68,21,98.12931539988635
118,45,119.34906182873279
154,12,138.64923500279164
59,58,93.57806343253111
64,1,95.9384750716885
115,30,119.99100448473733
48,8,88.21008939175394
40,32,84.04334948805662
140,23,130.77504157081034
48,-19,85.8814146897995
129,29,126.53377507842431
94,57,109.75367952663008
123,-3,125.21466695912993
136,-1,131.77232017092214
38,5,81.26143502379821
132,-9,129.4661644390261
101,59,113.26978882342355
167,13,146.83115331853554
106,39,115.96367917804075
93,-15,109.55209239299124
17,12,nan
90,55,104.31280984532465
65,-12,95.03022631802722
124,27,123.19918080743354
143,11,133.41147970302168
119,-18,122.9387557556916
24,13,73.31990702442681
22,14,72.31869052544843
75,19,100.77753214529459
42,3,83.1155180972496
124,50,121.238435396215
104,-14,115.25193216622435
15,-15,67.99219008925826
40,35,81.94876308745171
117,43,118.27220030813017
31,7,78.2391862327946
132,-12,129.78792207252
51,32,89.3835818407222
30,5,77.52253258133099
38,1,81.04116823955822
75,10,101.06817956475211
78,-5,102.24633285968042
45,-14,84.27343675818918
127,-6,127.50943136417953
66,40,96.94540634315473
154,-9,141.41154386283907
95,2,111.10429162330875
77,-15,101.22068678371525
112,59,115.6455895823176
100,27,112.55117932844644
44,18,85.43471656184889
137,-14,132.40810111438688
111,-1,119.29536383179023
114,59,117.9505694151211
87,0,108.10234644510938
89,46,107.37452390153325
55,20,92.20430922415089
53,45,91.28294321335078
103,-12,115.32832400935314
114,57,120.93052668906253
89,4,108.40863819588125
98,51,110.48004410544675
177,-2,154.047647683662
88,31,107.79728771355298
60,49,94.11623050552444
128,32,124.21128837049511
118,15,121.238435396215
63,56,95.48509434964319
65,19,96.94540634315473
114,46,117.56590123129554
130,7,127.1748069951417
65,55,96.6670180096675
57,2,92.20430922415089
97,27,111.82927758321298
106,-3,116.2825763276069
97,-18,111.92459291281436
164,8,146.83115331853554
43,5,84.04334948805662
94,-15,110.16959214305908
125,52,121.85042101050983
51,11,90.30490934929767
78,33,102.0986636518203
76,-14,100.64305279499992
112,-12,119.94082817999924
41,25,84.04334948805662
57,27,91.74414235093047
151,0,138.32740424172658
31,5,77.52253258133099
28,-9,73.85677709320271
67,45,94.84673819979331
28,8,76.14016255349641
52,4,89.13127795456525
82,13,104.15060614941062
56,3,90.56192349893738
10,-5,68.15135490491487
37,-16,81.50232124773272
41,16,84.50724997626719
104,-1,116.35313759675351
75,45,102.39249524545988
66,24,98.41265632259235
68,11,98.86260402934937
86,27,107.37452390153325
81,28,105.3128183608063
105,24,115.49530098765113
23,-7,73.31990702442681
103,30,114.53607750754902
24,-19,74.76671750234776
109,49,115.96367917804075
140,30,130.77504157081034
138,-2,132.73409692726887
104,51,114.53607750754902
83,1,106.76796636127004
82,11,105.48326296869806
164,8,146.83115331853554
95,6,111.20375358865115
62,44,95.30407754806836
145,-2,136.98758113520395
110,54,117.9505694151211
122,15,124.23746277685756
72,-17,98.86260402934937
76,58,100.48844639825859
105,56,112.45900049356729
105,-12,116.21122421067773
155,7,141.73213437258997
13,13,69.77514056883193
76,4,102.24633285968041
12,0,68.27501201311811
126,-16,127.82926687353422
126,31,126.17894916777192
88,39,109.0794773786185
97,56,111.10429162330875
109,-19,118.97353307072517
88,7,108.71615284485358
46,41,87.7486092015825
15,14,nan
67,26,97.39737524464731
91,42,107.25430475172068
152,-17,139.99313824695508
54,45,91.4826055200204
100,3,113.98490406640275
111,26,117.17775003781797
45,-6,85.43471656184889
68,-1,98.74280121489595
98,-6,98.12931539988635
163,0,146.83115331853554
80,46,103.71513357406624
120,41,120.91324713390064
134,-14,131.10199407939692
120,3,123.91229158297065
102,52,114.13499089930839
102,52,113.81630490758242
62,0,95.48509434964319
34,-16,79.66009877033672
55,27,91.08145268213183
70,38,98.57854480414899
73,39,99.02592499906984
155,-15,142.97149206859635
62,-4,94.30286104909001
62,-3,94.57392125990086
38,12,81.72460676118764
109,-2,117.88857931688915
119,14,121.89026639832339
81,-16,104.42107697429047
59,-17,92.59254677114387
125,32,124.53860326914915
56,2,93.12132421174445
13,13,nan
90,0,109.44403648898216
106,53,113.90107027553506
113,-12,120.63518693831286
47,-11,85.19730188757059
93,25,109.86027098407155
5,-3,68.56330852401766
110,49,115.82206398533128
58,-18,89.59086986191431
112,46,116.85479979360927
111,41,116.92272599713043
125,40,123.5273838947811
68,30,99.31065941325924
128,13,126.52077399411986
66,0,98.01532199027243
155,13,141.02050379525465
167,0,149.53256178753747
14,4,69.04422326936783
94,6,111.61284281669253
119,32,121.238435396215
47,6,87.53269730150816
113,32,118.65232804091158
71,-17,98.74280121489595
176,3,155.6276350775965
99,-4,114.69632936748701
107,10,117.88857931688915
43,8,85.19730188757059
83,39,104.44893102144621
23,18,74.69352128296262
90,25,108.71615284485358
17,12,nan
114,0,120.21547259983743
109,50,116.67113607648018
96,19,111.92459291281436
128,-10,127.50199421734784
70,8,98.57854480414899
48,6,87.06860597742536
132,37,126.52077399411986
67,7,97.84762750468488
94,-18,110.89259944360123
38,-3,80.58037413639019
152,4,140.24433811071518
72,-18,98.57854480414899
65,-8,38.811384036758405
96,38,109.86027098407155
117,-2,121.238435396215
84,-13,106.16656448249402
155,-4,142.44808182280835
108,47,117.30939938978752
19,2,nan
84,-2,106.64503821467594
112,54,115.74206614047623
117,-1,121.92966040612147
102,58,113.1817884469778
34,24,81.72460676118764
91,-18,108.71615284485358
68,58,98.12931539988635
164,1,147.14272396807007
20,-17,nan
75,53,98.41265632259235
12,-8,69.04422326936783
19,-7,nan
158,16,143.3224435369275
62,22,96.21426715852364
38,-15,80.82275158152895
6,2,68.59684307444695
95,0,112.64235234914878
91,-17,110.16959214305908
18,-9,69.16147993094543
48,47,85.91518098360947
103,-13,115.25193216622435
109,9,117.88857931688915
128,-5,127.82926687353422
70,17,99.14829537449431
88,-8,108.10234644510938
45,14,86.3613330497186
126,23,124.53860326914915
108,19,116.92272599713043
155,-1,141.0901494077214
71,40,99.31065941325924
89,42,106.94902161647192
116,-2,120.867912226168
23,14,73.96556166890582
68,53,95.30407754806836
105,37,113.1817884469778
4,-4,68.76016404416742
102,41,113.1817884469778
70,36,100.04373469791462
41,11,85.43471656184889
123,1,125.23504966176105
121,47,122.57963843171827
35,25,83.3455749539934
132,21,128.15660363449072
128,-4,127.18410071436483
109,-14,118.91746336702298
115,12,121.28145725907082
79,39,103.85370078165204
114,57,117.17775003781797
61,-14,93.12132421174445
96,9,112.23737627984943
127,2,127.1748069951417
39,-7,81.50232124773272
120,48,120.63518693831286
67,-5,97.84762750468488
109,1,118.65232804091158
116,53,119.2410586022472
70,22,99.75677993768126
68,5,98.57854480414899
120,39,121.238435396215
44,-17,84.7354293895311
52,33,90.10023549218582
44,31,86.82417154094173
51,-9,88.67099846773081
54,14,91.4826055200204
103,4,115.6455895823176
118,3,122.54390263190912
120,52,121.238435396215
105,58,114.53607750754902
102,51,113.90107027553506
76,-9,102.39249524545988
149,-11,140.05686684222127
140,-4,134.9211887986551
97,2,113.35682782163389
40,11,84.50724997626719
102,0,114.45460808330189
85,25,107.15268526459813
116,-17,121.92966040612147
145,24,134.751421289059
42,2,84.50724997626719
61,39,94.57392125990086
111,26,117.62962982656173
63,33,96.21426715852364
125,4,125.54089611357483
15,10,nan
58,-13,92.85605057116905
117,34,120.63518693831286
96,53,111.71964763203223
135,12,130.77504157081034
98,-17,112.86598813583555
104,0,116.60226427826218
126,10,126.52077399411986
35,-18,78.7419639041459
151,9,140.51703233185552
25,-7,74.3111427214211
129,-7,129.14066650060508
82,-5,105.74097178693376
26,-12,74.50144386177237
