angle,stiffness,camera
179,4,124.68295754704472
38,1,91.99845152429029
164,3,121.23754255764685
124,3,111.68688021736368
30,0,90.47005638694253
89,1,104.05916111465169
146,2,116.92760741996153
54,4,95.0648747869115
160,1,120.492752834911
64,0,98.3632283918269
12,4,84.39572347639297
52,3,95.07494585068767
128,0,113.14608735182611
172,3,123.07034187295648
1,1,82.40945422686617
68,0,98.4449176414863
7,4,83.09829232443133
175,3,123.87756295579172
4,3,82.88215742218595
84,0,102.79297908386225
153,0,119.17435077899515
24,2,88.29643547618579
179,3,124.76257736743239
72,4,99.0456273587316
170,4,122.56379639979623
110,1,108.32432228558136
16,1,86.57176299062702
139,3,114.9902341029126
131,4,112.65244975407101
50,4,93.9837943226842
126,3,111.8913394437292
55,1,95.90896971420258
155,1,134.93687963594203
3,1,83.14697299233761
97,1,104.89056713572975
150,3,117.60827781152184
151,2,118.09156883852323
85,3,102.13398740673013
58,0,96.810535172964
9,4,83.56732753562223
142,4,115.46304884729001
60,0,97.02528492519656
144,2,116.33147145731358
25,3,88.12038737848219
75,0,100.35034189104249
79,4,100.7233508350752
35,0,91.36527833328306
159,4,119.631954300992
53,3,95.06584938254325
85,4,101.71188819687478
134,4,113.53845207392341
57,3,95.7392367296861
40,1,92.04471813191664
172,4,122.56822726313312
138,1,114.97913730889748
97,0,105.24089692023901
21,1,87.4786435658967
41,0,92.67246665629554
158,1,119.92507471354095
149,3,117.50572555960457
80,0,101.67124037380235
159,2,120.12887939940875
82,3,101.2442328053911
133,3,113.13696603825892
35,0,90.95010539500568
7,0,84.23727024582769
170,1,123.07034187295648
84,4,101.8743230485711
18,4,85.93696344637698
20,1,87.24877680972183
109,0,108.59398389456764
46,4,92.89983689491594
5,2,83.3616789071607
15,4,85.07860639683618
99,0,105.98167131930573
15,1,86.17834966547105
61,2,96.85108368250285
53,1,95.29877206837769
42,3,92.66819564919116
41,4,91.81672785338868
169,2,122.97651585863143
145,1,116.73012765621252
111,0,108.73970978451189
174,2,123.93559214391433
144,1,116.63537616105967
174,4,123.0528484040448
125,2,111.68824821022375
61,2,97.20964643018807
12,1,85.5196124407816
79,2,101.19836732040122
72,2,99.70384322346202
51,0,94.8592530345489
102,0,106.4003077247367
146,3,116.53793767387715
138,4,114.39969775960292
80,2,101.40954341036917
14,4,85.33039554289418
175,4,123.55442573712965
120,2,110.92303487544422
21,2,87.46558766449884
178,3,124.4353000799628
109,1,112.224563822662
172,3,123.11077241217252
156,0,120.02074971981227
75,1,100.92366143400537
37,0,92.01270281660398
133,0,114.21441562736224
174,0,124.06108922739894
95,4,103.77484245782195
175,4,123.68004401898813
174,3,123.47696134421938
63,4,96.83934565551104
142,1,116.24992701820295
25,4,87.67667570554073
175,3,123.6525042584558
85,1,102.92404529595137
71,4,98.56690539102557
13,4,84.65220058539745
135,3,113.9100854219005
135,2,114.22176641935718
168,1,122.47154933634151
174,4,122.92833688737372
57,3,94.89680993035708
99,0,106.32966635868574
171,3,122.77482361112749
26,3,88.3464591772009
66,4,97.46438112068037
145,0,116.63513984744715
