prev_angle_servo,prev_angle,stiffness,angle,examine_angle
25,54.553049381873294,0,65.66525099791649,90
43,59.702665024889754,0,65.37711877447747,90
114,100.77456553041776,0,65.419677234557,90
153,122.15388995787185,0,65.25822298618165,90
155,123.37386778356647,0,66.05903877681968,90
131,109.74959517711325,0,65.73974347040014,90
27,54.33199063116916,0,65.52339805530296,90
67,74.15398403135109,0,65.86984265532918,90
60,70.27895509036381,0,66.10968162734791,90
62,71.67968753122273,0,66.06881979356356,90
