prev_angle_servo,prev_angle,stiffness,angle,examine_angle
73,77.69561601173245,10,65.07343012756513,90
154,122.15319037791015,10,65.92453655070184,90
45,61.5869412386753,10,64.77237671592908,90
136,112.17818995291576,10,65.27510089166609,90
64,72.65359892685115,10,65.52308530816916,90
146,117.6155283388675,10,65.49952461255005,90
87,85.66842773832066,10,64.85444070542849,90
98,91.13119116011177,10,65.28178368180076,90
74,60.48409180217876,10,65.48009096599199,90
151,120.60588947530286,10,65.52308530816916,90
